Rank,Rider,Rider No.,Team,Points,Unnamed: 5,Stages,Year,Times,B,P,Segment
1,JÉRÔME PINEAU,135,QUICK STEP,3 PTS,,2,2010,,,,Côte de France - 201 km
2,MATTHEW LLOYD,106,OMEGA PHARMA - LOTTO,2 PTS,,2,2010,,,,Côte de France - 201 km
3,REIN TAARAMÄE,171,COFIDIS LE CREDIT EN LIGNE,1 PTS,,2,2010,,,,Côte de France - 201 km
1,JÉRÔME PINEAU,135,QUICK STEP,3 PTS,,2,2010,,,,Côte de Filot - 201 km
2,REIN TAARAMÄE,171,COFIDIS LE CREDIT EN LIGNE,2 PTS,,2,2010,,,,Côte de Filot - 201 km
3,MATTHEW LLOYD,106,OMEGA PHARMA - LOTTO,1 PTS,,2,2010,,,,Côte de Filot - 201 km
1,JÉRÔME PINEAU,135,QUICK STEP,3 PTS,,2,2010,,,,Côte de Werbomont - 201 km
2,REIN TAARAMÄE,171,COFIDIS LE CREDIT EN LIGNE,2 PTS,,2,2010,,,,Côte de Werbomont - 201 km
3,MATTHEW LLOYD,106,OMEGA PHARMA - LOTTO,1 PTS,,2,2010,,,,Côte de Werbomont - 201 km
1,JÉRÔME PINEAU,135,QUICK STEP,4 PTS,,2,2010,,,,Aisomont - 201 km
2,REIN TAARAMÄE,171,COFIDIS LE CREDIT EN LIGNE,3 PTS,,2,2010,,,,Aisomont - 201 km
3,MARCUS BURGHARDT,124,BMC RACING TEAM,2 PTS,,2,2010,,,,Aisomont - 201 km
4,FRANCESCO GAVAZZI,204,LAMPRE - FARNESE,1 PTS,,2,2010,,,,Aisomont - 201 km
1,SYLVAIN CHAVANEL,131,QUICK STEP,4 PTS,,2,2010,,,,Côte de Stockeu (Stèle Eddy Merckx) - 201 km
2,JURGEN ROELANDTS,108,OMEGA PHARMA - LOTTO,3 PTS,,2,2010,,,,Côte de Stockeu (Stèle Eddy Merckx) - 201 km
3,MAXIME MONFORT,116,TEAM HTC - COLUMBIA,2 PTS,,2,2010,,,,Côte de Stockeu (Stèle Eddy Merckx) - 201 km
4,FRANCESCO GAVAZZI,204,LAMPRE - FARNESE,1 PTS,,2,2010,,,,Côte de Stockeu (Stèle Eddy Merckx) - 201 km
1,SYLVAIN CHAVANEL,131,QUICK STEP,4 PTS,,2,2010,,,,Col du Rosier - 201 km
2,MAXIME MONFORT,116,TEAM HTC - COLUMBIA,3 PTS,,2,2010,,,,Col du Rosier - 201 km
3,CARLOS BARREDO,132,QUICK STEP,2 PTS,,2,2010,,,,Col du Rosier - 201 km
4,FABIAN CANCELLARA,13,TEAM SAXO BANK,1 PTS,,2,2010,,,,Col du Rosier - 201 km
1,RYDER HESJEDAL,54,GARMIN - TRANSITIONS,3 PTS,,3,2010,,,,Côte de Bothey - 213 km
2,STEPHEN CUMMINGS,33,SKY PRO CYCLING,2 PTS,,3,2010,,,,Côte de Bothey - 213 km
3,STÉPHANE AUGE,172,COFIDIS LE CREDIT EN LIGNE,1 PTS,,3,2010,,,,Côte de Bothey - 213 km
1,IBAN MAYOZ,217,FOOTON-SERVETTO,3 PTS,,4,2010,,,,Côte de Vadencourt - 153.5 km
2,FRANCIS DE GREEF,103,OMEGA PHARMA - LOTTO,2 PTS,,4,2010,,,,Côte de Vadencourt - 153.5 km
3,INAKI ISASI,182,EUSKALTEL - EUSKADI,1 PTS,,4,2010,,,,Côte de Vadencourt - 153.5 km
1,JURGEN VAN DE WALLE,138,QUICK STEP,3 PTS,,5,2010,,,,Côte d'Orbais-l'Abbaye - 187.5 km
2,JOSÉ IVAN GUTIERREZ PALACIOS,164,CAISSE D'EPARGNE,2 PTS,,5,2010,,,,Côte d'Orbais-l'Abbaye - 187.5 km
3,JULIEN EL FARES,174,COFIDIS LE CREDIT EN LIGNE,1 PTS,,5,2010,,,,Côte d'Orbais-l'Abbaye - 187.5 km
1,JURGEN VAN DE WALLE,138,QUICK STEP,3 PTS,,5,2010,,,,Côte de Mécringes - 187.5 km
2,JOSÉ IVAN GUTIERREZ PALACIOS,164,CAISSE D'EPARGNE,2 PTS,,5,2010,,,,Côte de Mécringes - 187.5 km
