Rank,Rider,Rider No.,Team,Times,Gap,Stages,Year,B,P
1,MAARTEN WYNANTS,139,QUICK STEP,00h 00' 00'',-,1,2010,,
1,SYLVAIN CHAVANEL,131,QUICK STEP,00h 00' 00'',-,2,2010,,
1,RYDER HESJEDAL,54,GARMIN - TRANSITIONS,00h 00' 00'',-,3,2010,,
1,DIMITRI CHAMPION,83,AG2R LA MONDIALE,00h 00' 00'',-,4,2010,,
1,JOSÉ IVAN GUTIERREZ PALACIOS,164,CAISSE D'EPARGNE,00h 00' 00'',-,5,2010,,
1,MATHIEU PERGET,167,CAISSE D'EPARGNE,00h 00' 00'',-,6,2010,,
1,JÉRÔME PINEAU,135,QUICK STEP,00h 00' 00'',-,7,2010,,
1,MARIO AERTS,102,OMEGA PHARMA - LOTTO,00h 00' 00'',-,8,2010,,
1,LUIS LEON SANCHEZ,161,CAISSE D'EPARGNE,00h 00' 00'',-,9,2010,,
1,MARIO AERTS,102,OMEGA PHARMA - LOTTO,00h 00' 00'',-,10,2010,,
1,STÉPHANE AUGE,172,COFIDIS LE CREDIT EN LIGNE,00h 00' 00'',-,11,2010,,
1,ALEXANDRE VINOKOUROV,9,ASTANA,00h 00' 00'',-,12,2010,,
1,JUAN ANTONIO FLECHA GIANNONI,34,SKY PRO CYCLING,00h 00' 00'',-,13,2010,,
1,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,00h 00' 00'',-,14,2010,,
1,THOMAS VOECKLER,151,BBOX BOUYGUES TELECOM,00h 00' 00'',-,15,2010,,
1,CARLOS BARREDO,132,QUICK STEP,00h 00' 00'',-,16,2010,,
1,ALEXANDR KOLOBNEV,74,KATUSHA TEAM,00h 00' 00'',-,17,2010,,
1,DANIEL OSS,46,LIQUIGAS-DOIMO,00h 00' 00'',-,18,2010,,
1,PERRIG QUEMENEUR,187,TEAM EUROPCAR,00h 00' 00'',-,1,2011,,
1,MICKAEL DELAGE,133,FDJ,00h 00' 00'',-,3,2011,,
1,JÉRÉMY ROY,138,FDJ,00h 00' 00'',-,4,2011,,
1,JOSÉ IVAN GUTIERREZ PALACIOS,85,MOVISTAR TEAM,00h 00' 00'',-,5,2011,,
1,ADRIANO MALORI,168,LAMPRE - ISD,00h 00' 00'',-,6,2011,,
1,YANNICK TALABARDON,219,SAUR-SOJASUN,00h 00' 00'',-,7,2011,,
1,TEJAY VAN GARDEREN,178,HTC - HIGHROAD,00h 00' 00'',-,8,2011,,
1,JOHNNY HOOGERLAND,204,VACANSOLEIL-DCM,00h 00' 00'',-,9,2011,,
2,JUAN ANTONIO FLECHA GIANNONI,112,SKY PROCYCLING,00h 00' 00'',-,9,2011,,
1,MARCO MARCATO,206,VACANSOLEIL-DCM,00h 00' 00'',-,10,2011,,
1,MICKAEL DELAGE,133,FDJ,00h 00' 00'',-,11,2011,,
1,GERAINT THOMAS,117,SKY PROCYCLING,00h 00' 00'',-,12,2011,,
1,JÉRÉMY ROY,138,FDJ,00h 00' 00'',-,13,2011,,
1,SANDY CASAR,131,FDJ,00h 00' 00'',-,14,2011,,
1,NIKI TERPSTRA,129,QUICK STEP CYCLING TEAM,00h 00' 00'',-,15,2011,,
1,MIKHAIL IGNATYEV,195,KATUSHA TEAM,00h 00' 00'',-,16,2011,,
1,RUBEN PEREZ MORENO,25,EUSKALTEL - EUSKADI,00h 00' 00'',-,17,2011,,
1,ANDY SCHLECK,11,TEAM LEOPARD-TREK,00h 00' 00'',-,18,2011,,
1,NICOLAS EDET,84,COFIDIS LE CREDIT EN LIGNE,00h 00' 00'',-,1,2012,,
1,ANTHONY ROUX,147,FDJ-BIGMAT,00h 00' 00'',-,2,2012,,
1,MICHAEL MØRKØV,175,TEAM SAXO BANK-TINKOFF BANK,00h 00' 00'',-,3,2012,,
1,YUKIYA ARASHIRO,22,TEAM EUROPCAR,00h 00' 00'',-,4,2012,,
1,MATTHIEU LADAGNOUS,144,FDJ-BIGMAT,00h 00' 00'',-,5,2012,,
1,DAVID ZABRISKIE,69,GARMIN-SHARP,00h 00' 00'',-,6,2012,,
1,LUIS LEON SANCHEZ,155,RABOBANK CYCLING TEAM,00h 00' 00'',-,7,2012,,
1,FREDRIK KESSIAKOFF,187,ASTANA PRO TEAM,00h 00' 00'',-,8,2012,,
1,THOMAS VOECKLER,21,TEAM EUROPCAR,00h 00' 00'',-,10,2012,,
1,PIERRE ROLLAND,29,TEAM EUROPCAR,00h 00' 00'',-,11,2012,,
1,ROBERT KIŠERLOVSKI,188,ASTANA PRO TEAM,00h 00' 00'',-,12,2012,,
1,MICHAEL MØRKØV,175,TEAM SAXO BANK-TINKOFF BANK,00h 00' 00'',-,13,2012,,
1,PETER SAGAN,57,LIQUIGAS-CANNONDALE,00h 00' 00'',-,14,2012,,
1,NICKI SORENSEN,179,TEAM SAXO BANK-TINKOFF BANK,00h 00' 00'',-,15,2012,,
1,THOMAS VOECKLER,21,TEAM EUROPCAR,00h 00' 00'',-,16,2012,,
1,ALEJANDRO VALVERDE,161,MOVISTAR TEAM,00h 00' 00'',-,17,2012,,
1,ALEXANDRE VINOKOUROV,189,ASTANA PRO TEAM,00h 00' 00'',-,18,2012,,
1,JÉRÔME COUSIN,53,TEAM EUROPCAR,00h 00' 00'',-,1,2013,,
1,BLEL KADRI,87,AG2R LA MONDIALE,00h 00' 00'',-,2,2013,,
1,SIMON CLARKE,183,ORICA GREENEDGE,00h 00' 00'',-,3,2013,,
1,THOMAS DE GENDT,203,VACANSOLEIL-DCM,00h 00' 00'',-,5,2013,,
1,ANDRÉ GREIPEL,24,LOTTO-BELISOL,00h 00' 00'',-,6,2013,,
1,JAN BAKELANTS,42,RADIOSHACK LEOPARD,00h 00' 00'',-,7,2013,,
1,NAIRO QUINTANA,128,MOVISTAR TEAM,00h 00' 00'',-,8,2013,,
1,ROMAIN BARDET,82,AG2R LA MONDIALE,00h 00' 00'',-,9,2013,,
1,JÉRÔME COUSIN,53,TEAM EUROPCAR,00h 00' 00'',-,10,2013,,
