Rank,Rider,Rider No.,Team,Times,Gap,B,P,Stages,Year
1,FABIAN CANCELLARA,13,TEAM SAXO BANK,00h 10' 00'',-,,,0,2010
2,TONY MARTIN,115,TEAM HTC - COLUMBIA,00h 10' 10'',+ 00h 00' 10'',,,0,2010
3,DAVID MILLAR,57,GARMIN - TRANSITIONS,00h 10' 20'',+ 00h 00' 20'',,,0,2010
5,GERAINT THOMAS,39,SKY PRO CYCLING,00h 10' 23'',+ 00h 00' 23'',,,0,2010
6,TYLER FARRAR,53,GARMIN - TRANSITIONS,00h 10' 28'',+ 00h 00' 28'',,,0,2010
7,LEVI LEIPHEIMER,25,TEAM RADIOSHACK,00h 10' 28'',+ 00h 00' 28'',,,0,2010
8,EDVALD BOASSON-HAGEN,36,SKY PRO CYCLING,00h 10' 32'',+ 00h 00' 32'',,,0,2010
9,LINUS GERDEMANN,141,TEAM MILRAM,00h 10' 35'',+ 00h 00' 35'',,,0,2010
10,BRENT BOOKWALTER,123,BMC RACING TEAM,00h 10' 35'',+ 00h 00' 35'',,,0,2010
11,ADRIANO MALORI,207,LAMPRE - FARNESE,00h 10' 35'',+ 00h 00' 35'',,,0,2010
12,JANEZ BRAJKOVIC,22,TEAM RADIOSHACK,00h 10' 35'',+ 00h 00' 35'',,,0,2010
13,MICHAEL ROGERS,118,TEAM HTC - COLUMBIA,00h 10' 35'',+ 00h 00' 35'',,,0,2010
14,RUBEN PLAZA MOLINA,168,CAISSE D'EPARGNE,00h 10' 36'',+ 00h 00' 36'',,,0,2010
15,NIKI TERPSTRA,148,TEAM MILRAM,00h 10' 36'',+ 00h 00' 36'',,,0,2010
16,ANDREAS KLÖDEN,24,TEAM RADIOSHACK,00h 10' 36'',+ 00h 00' 36'',,,0,2010
17,VASILI KIRYIENKA,165,CAISSE D'EPARGNE,00h 10' 38'',+ 00h 00' 38'',,,0,2010
18,ALEXANDRE VINOKOUROV,9,ASTANA,00h 10' 38'',+ 00h 00' 38'',,,0,2010
19,ROMAN KREUZIGER,44,LIQUIGAS-DOIMO,00h 10' 38'',+ 00h 00' 38'',,,0,2010
21,ROBERT HUNTER,55,GARMIN - TRANSITIONS,00h 10' 39'',+ 00h 00' 39'',,,0,2010
22,LUIS LEON SANCHEZ,161,CAISSE D'EPARGNE,00h 10' 39'',+ 00h 00' 39'',,,0,2010
23,CADEL EVANS,121,BMC RACING TEAM,00h 10' 39'',+ 00h 00' 39'',,,0,2010
24,ANDREY GRIVKO,3,ASTANA,00h 10' 40'',+ 00h 00' 40'',,,0,2010
25,DAVID ZABRISKIE,59,GARMIN - TRANSITIONS,00h 10' 40'',+ 00h 00' 40'',,,0,2010
26,VLADIMIR KARPETS,71,KATUSHA TEAM,00h 10' 40'',+ 00h 00' 40'',,,0,2010
27,MANUEL QUINZIATO,47,LIQUIGAS-DOIMO,00h 10' 41'',+ 00h 00' 41'',,,0,2010
28,STEVE MORABITO,128,BMC RACING TEAM,00h 10' 41'',+ 00h 00' 41'',,,0,2010
29,MAXIME MONFORT,116,TEAM HTC - COLUMBIA,00h 10' 41'',+ 00h 00' 41'',,,0,2010
30,KRISTIJAN KOREN,43,LIQUIGAS-DOIMO,00h 10' 42'',+ 00h 00' 42'',,,0,2010
31,DANIEL OSS,46,LIQUIGAS-DOIMO,00h 10' 43'',+ 00h 00' 43'',,,0,2010
32,LARS BOOM,192,RABOBANK,00h 10' 44'',+ 00h 00' 44'',,,0,2010
33,IGNATAS KONOVALOVAS,97,CERVELO TEST TEAM,00h 10' 44'',+ 00h 00' 44'',,,0,2010
34,REIN TAARAMÄE,171,COFIDIS LE CREDIT EN LIGNE,00h 10' 45'',+ 00h 00' 45'',,,0,2010
35,CARLOS BARREDO,132,QUICK STEP,00h 10' 46'',+ 00h 00' 46'',,,0,2010
36,JUAN ANTONIO FLECHA GIANNONI,34,SKY PRO CYCLING,00h 10' 46'',+ 00h 00' 46'',,,0,2010
37,RYDER HESJEDAL,54,GARMIN - TRANSITIONS,00h 10' 46'',+ 00h 00' 46'',,,0,2010
38,DAMIEN MONIER,178,COFIDIS LE CREDIT EN LIGNE,00h 10' 47'',+ 00h 00' 47'',,,0,2010
39,ALESSANDRO PETACCHI,208,LAMPRE - FARNESE,00h 10' 48'',+ 00h 00' 48'',,,0,2010
40,THOMAS LÖVKVIST,37,SKY PRO CYCLING,00h 10' 48'',+ 00h 00' 48'',,,0,2010
41,BRETT DANIEL LANCASTER,98,CERVELO TEST TEAM,00h 10' 49'',+ 00h 00' 49'',,,0,2010
42,MAARTEN TJALLINGII,199,RABOBANK,00h 10' 49'',+ 00h 00' 49'',,,0,2010
43,RUI COSTA,162,CAISSE D'EPARGNE,00h 10' 49'',+ 00h 00' 49'',,,0,2010
44,JÉRÔME PINEAU,135,QUICK STEP,00h 10' 49'',+ 00h 00' 49'',,,0,2010
45,JOSÉ ROJAS,169,CAISSE D'EPARGNE,00h 10' 49'',+ 00h 00' 49'',,,0,2010
46,JURGEN VAN DEN BROECK,101,OMEGA PHARMA - LOTTO,00h 10' 49'',+ 00h 00' 49'',,,0,2010
47,NICOLAS ROCHE,81,AG2R LA MONDIALE,00h 10' 49'',+ 00h 00' 49'',,,0,2010
48,MARTIJN MAASKANT,56,GARMIN - TRANSITIONS,00h 10' 49'',+ 00h 00' 49'',,,0,2010
49,MATTHIEU LADAGNOUS,65,FDJ,00h 10' 49'',+ 00h 00' 49'',,,0,2010
50,SANDY CASAR,62,FDJ,00h 10' 49'',+ 00h 00' 49'',,,0,2010
51,JÉRÉMY ROY,67,FDJ,00h 10' 49'',+ 00h 00' 49'',,,0,2010
52,JAKOB FUGLSANG,14,TEAM SAXO BANK,00h 10' 50'',+ 00h 00' 50'',,,0,2010
53,ROGER KLUGE,144,TEAM MILRAM,00h 10' 50'',+ 00h 00' 50'',,,0,2010
54,SIMON GERRANS,35,SKY PRO CYCLING,00h 10' 50'',+ 00h 00' 50'',,,0,2010
55,GRISCHA NIERMANN,197,RABOBANK,00h 10' 50'',+ 00h 00' 50'',,,0,2010
56,ROBERT GESINK,195,RABOBANK,00h 10' 51'',+ 00h 00' 51'',,,0,2010
57,ALEXANDR PLIUSCHIN,76,KATUSHA TEAM,00h 10' 51'',+ 00h 00' 51'',,,0,2010
58,CHRISTOPHER HORNER,23,TEAM RADIOSHACK,00h 10' 52'',+ 00h 00' 52'',,,0,2010
59,DAVID LE LAY,86,AG2R LA MONDIALE,00h 10' 52'',+ 00h 00' 52'',,,0,2010
60,CHRISTOPHE MOREAU,166,CAISSE D'EPARGNE,00h 10' 52'',+ 00h 00' 52'',,,0,2010
61,GERALD CIOLEK,142,TEAM MILRAM,00h 10' 52'',+ 00h 00' 52'',,,0,2010
62,FRANCESCO BELLOTTI,42,LIQUIGAS-DOIMO,00h 10' 53'',+ 00h 00' 53'',,,0,2010
63,CHRISTIAN KNEES,145,TEAM MILRAM,00h 10' 53'',+ 00h 00' 53'',,,0,2010
64,SÉBASTIEN TURGOT,158,BBOX BOUYGUES TELECOM,00h 10' 53'',+ 00h 00' 53'',,,0,2010
65,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,00h 10' 54'',+ 00h 00' 54'',,,0,2010
66,JOHAN VAN SUMMEREN,58,GARMIN - TRANSITIONS,00h 10' 54'',+ 00h 00' 54'',,,0,2010
67,BRAM TANKINK,198,RABOBANK,00h 10' 54'',+ 00h 00' 54'',,,0,2010
68,GEORGE HINCAPIE,126,BMC RACING TEAM,00h 10' 54'',+ 00h 00' 54'',,,0,2010
69,SERGIO MIGUEL MOREIRA PAULINHO,27,TEAM RADIOSHACK,00h 10' 54'',+ 00h 00' 54'',,,0,2010
70,CARLOS SASTRE,91,CERVELO TEST TEAM,00h 10' 54'',+ 00h 00' 54'',,,0,2010
71,IMANOL ERVITI,163,CAISSE D'EPARGNE,00h 10' 55'',+ 00h 00' 55'',,,0,2010
72,IVAN BASSO,41,LIQUIGAS-DOIMO,00h 10' 55'',+ 00h 00' 55'',,,0,2010
73,DRIES DEVENYNS,134,QUICK STEP,00h 10' 55'',+ 00h 00' 55'',,,0,2010
75,SAMUEL SANCHEZ,181,EUSKALTEL - EUSKADI,00h 10' 56'',+ 00h 00' 56'',,,0,2010
76,BERT GRABSCH,113,TEAM HTC - COLUMBIA,00h 10' 56'',+ 00h 00' 56'',,,0,2010
77,BRADLEY WIGGINS,31,SKY PRO CYCLING,00h 10' 56'',+ 00h 00' 56'',,,0,2010
78,CHRISTOPHE KERN,175,COFIDIS LE CREDIT EN LIGNE,00h 10' 56'',+ 00h 00' 56'',,,0,2010
79,FRANK SCHLECK,16,TEAM SAXO BANK,00h 10' 57'',+ 00h 00' 57'',,,0,2010
80,LUKE ROBERTS,146,TEAM MILRAM,00h 10' 57'',+ 00h 00' 57'',,,0,2010
81,ADAM JAMES HANSEN,114,TEAM HTC - COLUMBIA,00h 10' 57'',+ 00h 00' 57'',,,0,2010
82,GORKA VERDUGO,189,EUSKALTEL - EUSKADI,00h 10' 58'',+ 00h 00' 58'',,,0,2010
83,PAVEL BRUTT,72,KATUSHA TEAM,00h 10' 59'',+ 00h 00' 59'',,,0,2010
84,JENS VOIGT,19,TEAM SAXO BANK,00h 10' 59'',+ 00h 00' 59'',,,0,2010
85,JOSÉ IVAN GUTIERREZ PALACIOS,164,CAISSE D'EPARGNE,00h 10' 59'',+ 00h 00' 59'',,,0,2010
86,BENOÎT VAUGRENARD,69,FDJ,00h 10' 59'',+ 00h 00' 59'',,,0,2010
87,SEBASTIAN LANG,105,OMEGA PHARMA - LOTTO,00h 10' 59'',+ 00h 00' 59'',,,0,2010
88,MIRCO LORENZETTO,206,LAMPRE - FARNESE,00h 10' 59'',+ 00h 00' 59'',,,0,2010
89,SYLVAIN CHAVANEL,131,QUICK STEP,00h 10' 59'',+ 00h 00' 59'',,,0,2010
90,DANIEL MORENO FERNANDEZ,107,OMEGA PHARMA - LOTTO,00h 11' 00'',+ 00h 01' 00'',,,0,2010
91,MAARTEN WYNANTS,139,QUICK STEP,00h 11' 00'',+ 00h 01' 00'',,,0,2010
92,CHRISTIAN VANDE VELDE,51,GARMIN - TRANSITIONS,00h 11' 00'',+ 00h 01' 00'',,,0,2010
93,ALESSANDRO BALLAN,122,BMC RACING TEAM,00h 11' 00'',+ 00h 01' 00'',,,0,2010
94,YAROSLAV POPOVYCH,28,TEAM RADIOSHACK,00h 11' 01'',+ 00h 01' 01'',,,0,2010
95,MARTIN ELMIGER,84,AG2R LA MONDIALE,00h 11' 01'',+ 00h 01' 01'',,,0,2010
96,JURGEN ROELANDTS,108,OMEGA PHARMA - LOTTO,00h 11' 02'',+ 00h 01' 02'',,,0,2010
97,RÉMI PAURIOL,179,COFIDIS LE CREDIT EN LIGNE,00h 11' 02'',+ 00h 01' 02'',,,0,2010
98,MICKAEL DELAGE,104,OMEGA PHARMA - LOTTO,00h 11' 03'',+ 00h 01' 03'',,,0,2010
99,ARKAITZ DURAN AROCA,214,FOOTON-SERVETTO,00h 11' 03'',+ 00h 01' 03'',,,0,2010
100,JULIEN EL FARES,174,COFIDIS LE CREDIT EN LIGNE,00h 11' 04'',+ 00h 01' 04'',,,0,2010
101,JOHANNES FRÖHLINGER,143,TEAM MILRAM,00h 11' 04'',+ 00h 01' 04'',,,0,2010
102,CHRISTOPHE LE MEVEL,61,FDJ,00h 11' 04'',+ 00h 01' 04'',,,0,2010
103,ALIAKSANDR KUSCHYNSKI,45,LIQUIGAS-DOIMO,00h 11' 04'',+ 00h 01' 04'',,,0,2010
104,DANILO HONDO,205,LAMPRE - FARNESE,00h 11' 05'',+ 00h 01' 05'',,,0,2010
105,MAURO SANTAMBROGIO,129,BMC RACING TEAM,00h 11' 05'',+ 00h 01' 05'',,,0,2010
106,MAXIME BOUET,82,AG2R LA MONDIALE,00h 11' 05'',+ 00h 01' 05'',,,0,2010
107,KEVIN DE WEERT,133,QUICK STEP,00h 11' 05'',+ 00h 01' 05'',,,0,2010
108,STUART O'GRADY,15,TEAM SAXO BANK,00h 11' 06'',+ 00h 01' 06'',,,0,2010
109,ANTHONY ROUX,66,FDJ,00h 11' 06'',+ 00h 01' 06'',,,0,2010
110,NICOLAS VOGONDY,159,BBOX BOUYGUES TELECOM,00h 11' 06'',+ 00h 01' 06'',,,0,2010
111,ROBBIE MC EWEN,75,KATUSHA TEAM,00h 11' 06'',+ 00h 01' 06'',,,0,2010
112,JUAN JOSÉ OROZ UGALDE,184,EUSKALTEL - EUSKADI,00h 11' 06'',+ 00h 01' 06'',,,0,2010
113,STEPHEN CUMMINGS,33,SKY PRO CYCLING,00h 11' 07'',+ 00h 01' 07'',,,0,2010
114,SAMUEL DUMOULIN,173,COFIDIS LE CREDIT EN LIGNE,00h 11' 07'',+ 00h 01' 07'',,,0,2010
115,JOAQUIN RODRIGUEZ OLIVER,77,KATUSHA TEAM,00h 11' 08'',+ 00h 01' 08'',,,0,2010
116,FRANCESCO REDA,136,QUICK STEP,00h 11' 08'',+ 00h 01' 08'',,,0,2010
117,BENJAMIN NOVAL GONZALEZ,7,ASTANA,00h 11' 08'',+ 00h 01' 08'',,,0,2010
118,MARK RENSHAW,117,TEAM HTC - COLUMBIA,00h 11' 08'',+ 00h 01' 08'',,,0,2010
119,KANSTANTSIN SIUTSOU,119,TEAM HTC - COLUMBIA,00h 11' 08'',+ 00h 01' 08'',,,0,2010
120,MICHAËL BARRY,32,SKY PRO CYCLING,00h 11' 08'',+ 00h 01' 08'',,,0,2010
121,SÉBASTIEN MINARD,176,COFIDIS LE CREDIT EN LIGNE,00h 11' 09'',+ 00h 01' 09'',,,0,2010
122,ANDY SCHLECK,11,TEAM SAXO BANK,00h 11' 09'',+ 00h 01' 09'',,,0,2010
123,IBAN MAYOZ,217,FOOTON-SERVETTO,00h 11' 09'',+ 00h 01' 09'',,,0,2010
124,THOMAS ROHREGGER,147,TEAM MILRAM,00h 11' 09'',+ 00h 01' 09'',,,0,2010
125,CYRIL GAUTIER,155,BBOX BOUYGUES TELECOM,00h 11' 09'',+ 00h 01' 09'',,,0,2010
126,CHARLES WEGELIUS,109,OMEGA PHARMA - LOTTO,00h 11' 10'',+ 00h 01' 10'',,,0,2010
127,MARK CAVENDISH,111,TEAM HTC - COLUMBIA,00h 11' 10'',+ 00h 01' 10'',,,0,2010
