Stages,Date,Start,Finish,Year
Prologue,03/07/2010,Rotterdam,Rotterdam,2010
Stage 1,04/07/2010,Rotterdam,Bruxelles,2010
Stage 2,05/07/2010,Bruxelles,Spa,2010
Stage 3,06/07/2010,Wanze,Arenberg Porte du Hainaut,2010
Stage 4,07/07/2010,Cambrai,Reims,2010
Stage 5,08/07/2010,Épernay,Montargis,2010
Stage 6,09/07/2010,Montargis,Gueugnon,2010
Stage 7,10/07/2010,Tournus,Station des Rousses,2010
Stage 8,11/07/2010,Station des Rousses,Morzine,2010
Stage 9,13/07/2010,Morzine,Saint-Jean-de-Maurienne,2010
Stage 10,14/07/2010,Chambéry,Gap,2010
Stage 11,15/07/2010,Sisteron,Bourg-lès-Valence,2010
Stage 12,16/07/2010,Bourg-de-Péage,Mende,2010
Stage 13,17/07/2010,Rodez,Revel,2010
Stage 14,18/07/2010,Revel,Ax 3 Domaines,2010
Stage 15,19/07/2010,Pamiers,Bagnères-de-Luchon,2010
Stage 16,20/07/2010,Bagnères-de-Luchon,Pau,2010
Stage 17,22/07/2010,Pau,Col du Tourmalet,2010
Stage 18,23/07/2010,Salies-de-Béarn,Bordeaux,2010
Stage 19,24/07/2010,Bordeaux,Pauillac,2010
Stage 20,25/07/2010,Longjumeau,Paris Champs-Élysées,2010
Stage 1,02/07/2011,Passage du Gois,Mont des Alouettes,2011
Stage 2,03/07/2011,Les Essarts,Les Essarts,2011
Stage 3,04/07/2011,Olonne-sur-Mer,Redon,2011
Stage 4,05/07/2011,Lorient,Mûr-de-Bretagne Guerlédan,2011
Stage 5,06/07/2011,Carhaix,Cap Fréhel,2011
Stage 6,07/07/2011,Dinan,Lisieux,2011
Stage 7,08/07/2011,Le Mans,Chateauroux,2011
Stage 8,09/07/2011,Aigurande,Super-Besse Sancy,2011
Stage 9,10/07/2011,Issoire,Saint-Flour,2011
Stage 10,12/07/2011,Aurillac,Carmaux,2011
Stage 11,13/07/2011,Blaye-les-Mines,Lavaur,2011
Stage 12,14/07/2011,Cugnaux,Luz-Ardiden,2011
Stage 13,15/07/2011,Pau,Lourdes,2011
Stage 14,16/07/2011,Saint Gaudens,plateau_de_beille,2011
Stage 15,17/07/2011,Limoux,Montpellier,2011
Stage 16,19/07/2011,Saint-Paul -Trois-Châteaux,Gap,2011
Stage 17,20/07/2011,Gap,Pinerolo,2011
Stage 18,21/07/2011,Pinerolo,Galibier Serre-Chevalier,2011
Stage 19,22/07/2011,Modane Valfréjus,L'Alpe-d'Huez,2011
Stage 20,23/07/2011,Grenoble,Grenoble,2011
Stage 21,24/07/2011,Créteil,Paris Champs-Élysées,2011
Prologue,30/06/2012,Liège,Liège,2012
Stage 1,01/07/2012,Liège,Seraing,2012
Stage 2,02/07/2012,Visé,Tournai,2012
Stage 3,03/07/2012,Orchies,Boulogne-sur-Mer,2012
Stage 4,04/07/2012,Abbeville,Rouen,2012
Stage 5,05/07/2012,Rouen,St-Quentin,2012
Stage 6,06/07/2012,Épernay,Metz,2012
Stage 7,07/07/2012,Tomblaine,La Planche des Belles Filles,2012
Stage 8,08/07/2012,Belfort,Porrentruy,2012
Stage 9,09/07/2012,Arc-et-Senans,Besançon,2012
Stage 10,11/07/2012,Macon,Bellegarde-sur-Valserine,2012
Stage 11,12/07/2012,Albertville,La Toussuire,2012
Stage 12,13/07/2012,Saint-Jean-de-Maurienne,Annonay Davézieux,2012
Stage 13,14/07/2012,Saint-Paul -Trois-Châteaux,Le Cap d'Agde,2012
Stage 14,15/07/2012,Limoux,Foix,2012
Stage 15,16/07/2012,Samatan,Pau,2012
Stage 16,18/07/2012,Pau,Bagnères-de-Luchon,2012
Stage 17,19/07/2012,Bagnères-de-Luchon,Peyragudes,2012
Stage 18,20/07/2012,Blagnac,Brive-la-Gaillarde,2012
Stage 19,21/07/2012,Bonneval,Chartres,2012
Stage 20,22/07/2012,Rambouillet,Paris Champs-Élysées,2012
Stage 1,29/06/2013,porto_vecchio,Bastia,2013
Stage 2,30/06/2013,Bastia,Ajaccio,2013
Stage 3,01/07/2013,Ajaccio,Calvi,2013
Stage 4,02/07/2013,Nice,Nice,2013
Stage 5,03/07/2013,Cagnes-sur-Mer,Marseille,2013
Stage 6,04/07/2013,Aix en Provence,Montpellier,2013
Stage 7,05/07/2013,Montpellier,Albi,2013
Stage 8,06/07/2013,Castres,Ax 3 Domaines,2013
Stage 9,07/07/2013,Saint-Girons,Bagnères-de-Bigorre,2013
Stage 10,09/07/2013,Saint-Gildas-des-Bois,Saint-Malo,2013
Stage 11,10/07/2013,Avranches,Mont-Saint-Michel,2013
Stage 12,11/07/2013,Fougères,Tours,2013
Stage 13,12/07/2013,Tours,Saint-Amand-Montrond,2013
Stage 14,13/07/2013,Saint-Pourçain-sur-Sioule,Lyon,2013
Stage 15,14/07/2013,Givors,Mont Ventoux,2013
Stage 16,16/07/2013,Vaison-la-Romaine,Gap,2013
Stage 17,17/07/2013,Embrun,Chorges,2013
Stage 18,18/07/2013,Gap,Alpe d'Huez,2013
Stage 19,19/07/2013,Bourg-d'Oisans,le_grand_bornand,2013
Stage 20,20/07/2013,Annecy,Annecy - Semnoz,2013
Stage 21,21/07/2013,Versailles,Paris Champs-Élysées,2013
Stage 1,05/07/2014,Leeds,Harrogate,2014
Stage 2,06/07/2014,York,Sheffield,2014
Stage 3,07/07/2014,Cambridge,Londres,2014
Stage 4,08/07/2014,Le Touquet-Paris-Plage,Lille,2014
Stage 5,09/07/2014,Ypres,Arenberg Porte du Hainaut,2014
Stage 6,10/07/2014,Arras Citadelle,Reims,2014
Stage 7,11/07/2014,Épernay,Nancy,2014
Stage 8,12/07/2014,Tomblaine,Gérardmer,2014
Stage 9,13/07/2014,Gérardmer,Mulhouse,2014
Stage 10,14/07/2014,Mulhouse,La Planche des Belles Filles,2014
Stage 11,16/07/2014,Besançon,Oyonnax,2014
Stage 12,17/07/2014,Bourg-en-Bresse,Saint-Etienne,2014
Stage 13,18/07/2014,Saint-Etienne,Chamrousse,2014
Stage 14,19/07/2014,Grenoble,Risoul,2014
Stage 15,20/07/2014,Tallard,Nimes,2014
Stage 16,22/07/2014,Carcassonne,Bagnères-de-Luchon,2014
Stage 17,23/07/2014,Saint Gaudens,Saint-Lary-Soulan Col du Portet,2014
Stage 18,24/07/2014,Pau,Hautacam,2014
Stage 19,25/07/2014,Maubourguet Pays du Val d'Adour,Bergerac,2014
Stage 20,26/07/2014,Bergerac,Périgueux,2014
Stage 21,27/07/2014,Evry,Paris Champs-Élysées,2014
Stage 1,04/07/2015,Utrecht,Utrecht,2015
Stage 2,05/07/2015,Utrecht,Zélande,2015
Stage 3,06/07/2015,Anvers,Huy,2015
Stage 4,07/07/2015,Seraing,Cambrai,2015
Stage 5,08/07/2015,Arras Communauté Urbaine,Amiens,2015
Stage 6,09/07/2015,Abbeville,Le Havre,2015
Stage 7,10/07/2015,Livarot,Fougères,2015
