Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
1,TEAM RADIOSHACK,16h 00' 19'',-,1,2010,,,,
2,TEAM HTC - COLUMBIA,16h 00' 20'',+ 00h 00' 01'',1,2010,,,,
3,GARMIN - TRANSITIONS,16h 00' 21'',+ 00h 00' 02'',1,2010,,,,
4,SKY PRO CYCLING,16h 00' 35'',+ 00h 00' 16'',1,2010,,,,
5,ASTANA,16h 00' 39'',+ 00h 00' 20'',1,2010,,,,
6,TEAM SAXO BANK,16h 00' 41'',+ 00h 00' 22'',1,2010,,,,
7,CAISSE D'EPARGNE,16h 00' 47'',+ 00h 00' 28'',1,2010,,,,
8,BMC RACING TEAM,16h 00' 49'',+ 00h 00' 30'',1,2010,,,,
9,TEAM MILRAM,16h 00' 55'',+ 00h 00' 36'',1,2010,,,,
10,LIQUIGAS-DOIMO,16h 00' 55'',+ 00h 00' 36'',1,2010,,,,
11,LAMPRE - FARNESE,16h 01' 16'',+ 00h 00' 57'',1,2010,,,,
12,RABOBANK,16h 01' 17'',+ 00h 00' 58'',1,2010,,,,
13,CERVELO TEST TEAM,16h 01' 21'',+ 00h 01' 02'',1,2010,,,,
14,FDJ,16h 01' 21'',+ 00h 01' 02'',1,2010,,,,
15,COFIDIS LE CREDIT EN LIGNE,16h 01' 22'',+ 00h 01' 03'',1,2010,,,,
16,QUICK STEP,16h 01' 24'',+ 00h 01' 05'',1,2010,,,,
17,KATUSHA TEAM,16h 01' 24'',+ 00h 01' 05'',1,2010,,,,
18,AG2R LA MONDIALE,16h 01' 29'',+ 00h 01' 10'',1,2010,,,,
19,OMEGA PHARMA - LOTTO,16h 01' 42'',+ 00h 01' 23'',1,2010,,,,
20,EUSKALTEL - EUSKADI,16h 01' 54'',+ 00h 01' 35'',1,2010,,,,
21,BBOX BOUYGUES TELECOM,16h 02' 02'',+ 00h 01' 43'',1,2010,,,,
22,FOOTON-SERVETTO,16h 02' 16'',+ 00h 01' 57'',1,2010,,,,
1,QUICK STEP,30h 11' 40'',-,2,2010,,,,
2,TEAM RADIOSHACK,30h 14' 31'',+ 00h 02' 51'',2,2010,,,,
3,TEAM HTC - COLUMBIA,30h 14' 32'',+ 00h 02' 52'',2,2010,,,,
4,GARMIN - TRANSITIONS,30h 14' 33'',+ 00h 02' 53'',2,2010,,,,
5,SKY PRO CYCLING,30h 14' 47'',+ 00h 03' 07'',2,2010,,,,
6,ASTANA,30h 14' 51'',+ 00h 03' 11'',2,2010,,,,
7,TEAM SAXO BANK,30h 14' 53'',+ 00h 03' 13'',2,2010,,,,
