Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
1,TEAM MILRAM,15h 28' 54'',-,1,2010,,,,
2,SKY PRO CYCLING,15h 28' 54'',-,1,2010,,,,
3,COFIDIS LE CREDIT EN LIGNE,15h 28' 54'',-,1,2010,,,,
4,TEAM HTC - COLUMBIA,15h 28' 54'',-,1,2010,,,,
5,QUICK STEP,15h 28' 54'',-,1,2010,,,,
6,KATUSHA TEAM,15h 28' 54'',-,1,2010,,,,
7,LAMPRE - FARNESE,15h 28' 54'',-,1,2010,,,,
8,OMEGA PHARMA - LOTTO,15h 28' 54'',-,1,2010,,,,
9,CERVELO TEST TEAM,15h 28' 54'',-,1,2010,,,,
10,FDJ,15h 28' 54'',-,1,2010,,,,
11,LIQUIGAS-DOIMO,15h 28' 54'',-,1,2010,,,,
12,BBOX BOUYGUES TELECOM,15h 28' 54'',-,1,2010,,,,
13,BMC RACING TEAM,15h 28' 54'',-,1,2010,,,,
14,CAISSE D'EPARGNE,15h 28' 54'',-,1,2010,,,,
15,ASTANA,15h 28' 54'',-,1,2010,,,,
16,GARMIN - TRANSITIONS,15h 28' 54'',-,1,2010,,,,
17,EUSKALTEL - EUSKADI,15h 28' 54'',-,1,2010,,,,
18,AG2R LA MONDIALE,15h 28' 54'',-,1,2010,,,,
19,TEAM SAXO BANK,15h 28' 54'',-,1,2010,,,,
20,TEAM RADIOSHACK,15h 28' 54'',-,1,2010,,,,
21,RABOBANK,15h 28' 54'',-,1,2010,,,,
22,FOOTON-SERVETTO,15h 28' 54'',-,1,2010,,,,
1,QUICK STEP,14h 10' 16'',-,2,2010,,,,
2,TEAM MILRAM,14h 14' 12'',+ 00h 03' 56'',2,2010,,,,
3,OMEGA PHARMA - LOTTO,14h 14' 12'',+ 00h 03' 56'',2,2010,,,,
4,KATUSHA TEAM,14h 14' 12'',+ 00h 03' 56'',2,2010,,,,
5,CERVELO TEST TEAM,14h 14' 12'',+ 00h 03' 56'',2,2010,,,,
