Stages,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Year
0,FABIAN CANCELLARA,DAVID MILLAR,,TONY MARTIN,2010
1,FABIAN CANCELLARA,ALESSANDRO PETACCHI,,TONY MARTIN,2010
2,SYLVAIN CHAVANEL,ALESSANDRO PETACCHI,JÉRÔME PINEAU,TONY MARTIN,2010
3,FABIAN CANCELLARA,THOR HUSHOVD,JÉRÔME PINEAU,GERAINT THOMAS,2010
4,FABIAN CANCELLARA,THOR HUSHOVD,JÉRÔME PINEAU,GERAINT THOMAS,2010
5,FABIAN CANCELLARA,THOR HUSHOVD,JÉRÔME PINEAU,GERAINT THOMAS,2010
6,FABIAN CANCELLARA,THOR HUSHOVD,JÉRÔME PINEAU,GERAINT THOMAS,2010
7,SYLVAIN CHAVANEL,THOR HUSHOVD,JÉRÔME PINEAU,ANDY SCHLECK,2010
8,CADEL EVANS,THOR HUSHOVD,JÉRÔME PINEAU,ANDY SCHLECK,2010
9,ANDY SCHLECK,THOR HUSHOVD,ANTHONY CHARTEAU,ROBERT GESINK,2010
10,ANDY SCHLECK,THOR HUSHOVD,JÉRÔME PINEAU,ROBERT GESINK,2010
11,ANDY SCHLECK,ALESSANDRO PETACCHI,JÉRÔME PINEAU,ROBERT GESINK,2010
12,ANDY SCHLECK,THOR HUSHOVD,ANTHONY CHARTEAU,ROBERT GESINK,2010
13,ANDY SCHLECK,ALESSANDRO PETACCHI,ANTHONY CHARTEAU,ROBERT GESINK,2010
14,ANDY SCHLECK,ALESSANDRO PETACCHI,ANTHONY CHARTEAU,ROBERT GESINK,2010
15,ANDY SCHLECK,ALESSANDRO PETACCHI,ANTHONY CHARTEAU,ANDY SCHLECK,2010
16,ANDY SCHLECK,THOR HUSHOVD,ANTHONY CHARTEAU,ANDY SCHLECK,2010
17,ANDY SCHLECK,THOR HUSHOVD,ANTHONY CHARTEAU,ANDY SCHLECK,2010
18,ANDY SCHLECK,ALESSANDRO PETACCHI,ANTHONY CHARTEAU,ANDY SCHLECK,2010
19,ANDY SCHLECK,ALESSANDRO PETACCHI,ANTHONY CHARTEAU,ANDY SCHLECK,2010
20,ANDY SCHLECK,ALESSANDRO PETACCHI,ANTHONY CHARTEAU,ANDY SCHLECK,2010
